L10,L5,R5,R10
28.5714285714286,100,75,50
58.3333333333333,50,45.4545454545455,33.3333333333333
58.3333333333333,75,50,50
66.6666666666667,66.6666666666667,80,66.6666666666667
58.3333333333333,66.6666666666667,77.7777777777778,63.6363636363636
42.8571428571429,42.8571428571429,33.3333333333333,25
63.6363636363636,62.5,60,44.4444444444444
41.6666666666667,58.3333333333333,66.6666666666667,36.3636363636364
18.1818181818182,75,45.4545454545455,8.33333333333333
20,72.7272727272727,63.6363636363636,50
50,66.6666666666667,0,66.6666666666667
25,28.5714285714286,50,27.2727272727273
41.6666666666667,27.2727272727273,63.6363636363636,25
63.6363636363636,66.6666666666667,66.6666666666667,54.5454545454545
27.2727272727273,45.4545454545455,66.6666666666667,18.1818181818182
