L10,L5,R5,R10,B10,B5
84.6774193548387,91.1290322580645,92,88.1889763779528,94.3548387096774,91.6666666666667
83.3333333333333,85.1063829787234,82.5581395348837,82.3529411764706,83.3333333333333,80.4597701149425
90,87.7777777777778,82.1428571428571,84.7058823529412,84.0909090909091,91.25
89.8148148148148,91.743119266055,97.1428571428571,93.4579439252336,91.9191919191919,94
90.9090909090909,77.7777777777778,86.2068965517241,82.7586206896552,85.1851851851852,89.2857142857143
78.5714285714286,77.4193548387097,73.3333333333333,84.6153846153846,81.0810810810811,87.5
91.4634146341463,92.3913043478261,90,85.8974358974359,88.1578947368421,92.5925925925926
75,84.8484848484848,81.1594202898551,83.6065573770492,86.7647058823529,86.6666666666667
80.1587301587302,84,83.59375,83.4645669291339,78.740157480315,88.8888888888889
95.4128440366973,97.1698113207547,95.2830188679245,95.2830188679245,96.078431372549,95.2380952380952
68.75,72.65625,74.21875,62.5,73.2283464566929,83.4645669291339
82.0224719101124,80.5555555555556,83.9506172839506,80.7692307692308,81.9444444444444,72.8571428571428
82.6086956521739,92.3076923076923,96.6666666666667,88.4615384615385,77.4193548387097,85.1851851851852
88.7640449438202,96.551724137931,87.7777777777778,92.6829268292683,96.1538461538462,93.5064935064935
76.6129032258064,82.6771653543307,79.6875,77.1653543307087,85.9375,84.1269841269841
